//Index   Message
723  "[Chiếm Thành] Nhân vật đã giành được nhiều nhất:"
724  "[Chiếm Thành] %d°: %s (Bang Hội: %s)!"
725  "[Chiếm Thành] Họ kiếm được 10 wcoinc!"
726  "[Chiếm Thành] Không có người chiến thắng!"
730  "Bạn đã được trao tặng %d WCoinC! "
731  "Bạn đã được trao tặng %d WCoinP! "
732  "Bạn đã được trao tặng %d Pcpoint! "
733  "Lệnh: [/top loại lớp | Ex:/top Rs DK | Ex:/top Rl DK]  "
734  "Lệnh: [Class: DK, DW, Ef, MG, DL, Su] "
735  "không có kết quả! "
736  "Top %d - Nhân Vật %s - Reset ( %d) "
                                                                 
737  "Tẩy điểm thành công !"                                                                            
738  " %s đã đạt đến Cấp VIP %s ! "
739  "Bạn đã đạt đến Cấp Rank %s ! "
740  "Tôi đã bị vô hiệu hóa = ("
741  "Bạn cần phải có 64 miếng cùng loại trong khoảng không quảng cáo"
742  "Cảm ơn bạn rất nhiều, tôi đã lấy các mục và trao giải thưởng của bạn. "
743  "Xin lỗi, tôi không có quan tâm đến các mục này. "
744  "Bạn giao dịch của bạn cho các giải thưởng! "      
                                                         
745  "[ %s] bắt đầu sau %d phút! Dùng lệnh /traloi__câutrảlời"
746  "[ %s] câu hỏi: (câutrảlời = tiếng việt, không dấu)"
747  "[ %s] %s "
748  "[ %s] %s trả lời đúng và nhanh nhất! "
749  "[ %s] không có người chiến thắng! "
750  "[ %s] sai câu trả lời! "
751  "[ %s] Câu trả lời là: %s "     
                                                                            
752  "[PickUp %s] được bật! "
753  "[PickUp %s] bị vô hiệu! "
754  "[PickUp] vô hiệu hoá! "

755  "[Reset Master] Tẩy điểm Masters thành công ! "
756  "[Reset Master] Bạn không đủ điều kiện tẩy điểm master! "

757  "[Vip tài khoản] Bạn không đủ tiền để mua gói này! "
758  "[Vip tài khoản] Xin chúc mừng bạn đã thuê %s! "
759  "[Vip tài khoản] Vip hiện tại của bạn cao hơn Vip bạn vừa chọn! "  
                                      
760  "Tài khoản của bạn %d WC ! "
761  "Tài khoản của bạn %d WP !  "
762  "Tài khoản của bạn %d GP !  "
763  "Bạn không thể sử dụng các cuộc tấn công tuỳ chỉnh với các hoạt động Muhelper! "
764  "Bạn không thể sử dụng các Muhelper với tấn công tùy chỉnh hoạt động! "
765  "Level của bạn trên: %d , không thể sử dụng lệnh! "
766  "Giá trị sử dụng: %d WC! "
767  "Giá trị sử dụng: %d WP! "
768  "Giá trị để sử dụng: %d GP! "
769  "Team Alliance giành được sự kiện! "
770  "Nhóm Phanton giành được sự kiện! "
771  "[OFFPVP] Bật "
772  "[OFFPVP] Tắt "

//773  "[Lock] bật-các mục bị chặn! "
//774  "[Lock] mật khẩu phải chứa tối đa là 8 ký tự! "
//775  "[Lock] đã được kích hoạt, sử dụng /Unlock để mở khóa! "
//776  "[Lock] vô hiệu hoá! "
//777  "[Lock] mật khẩu không hợp lệ! "
//778  "[Lock] hành động bị chặn bởi mật khẩu! "

773  "Mu-ThanLong.Club"
774  "Mu-ThanLong.Club"
775  "Mu-ThanLong.Club"
776  "Mu-ThanLong.Club"
777  "Mu-ThanLong.Club"
778  "Mu-ThanLong.Club"

779  "Bạn chỉ có thể kích hoạt lệnh trong vùng an toàn "
780  "Cửa hàng cá nhân là trống rỗng hoặc các mặt hàng được không có giá "
781  "Chú ý!! Tất cả các mục trong cửa hàng này được bán cho Jewel of Bless  "
782  "Chú ý!! Tất cả các mục trong cửa hàng này được bán cho Jewel of Soul  "
783  "Chú ý!! Tất cả các mục trong cửa hàng này được bán cho Jewel of Chaos  "
784  "Chú ý!! Tất cả các mục trong cửa hàng này được bán cho wcoinc  "
785  "Chú ý!! Tất cả các mục trong cửa hàng này được bán cho WCOINP  "
786  "Chú ý!! Tất cả các mục trong cửa hàng này được bán cho Goblin Point  "
787  "Bạn cần phải mở các cửa hàng cá nhân trước khi"    
                                                   
788  "Lệnh sẽ chạy trong %d phút (s) "
789  "/Store sử dụng thời gian kết thúc "
790  "[Tự động đánh] đã tắt !"
791  "[Tự động đánh] bạn không thể sử dụng ở vị trí này "
792  "[Tự động đánh] bạn không có kỹ năng cần thiết để sử dụng "
793  "[Tự động đánh] thời gian sử dụng: %d phút (s) "
794  "[Tự động đánh] thời gian rất thích "
795  "[Tự động đánh] đã kích hoạt !"
796  "[Off Tự đánh] bạn phải kích hoạt /tudanh trước khi sử dụng /offtudanh "
797  "[Off Tự đánh] bạn không thể sử dụng vị trí này "
798  "điều này Guild không tồn tại! "
799  "[PvP] timed out! "
800  "[PvP] hủy bỏ! "
801  "[PvP] %s X %s bắt đầu! "
802  "[PvP] %s %d x %d %s! "
803  "[PvP] %s giành được sự kiện! "
804  "[PvP] bắt đầu! "           
                                                                      
805  "[Matamata] đóng cửa! "
806  "[Matamata] sự kiện bắt đầu! "
807  "[Matamata] timed out! "
808  "[Matamata] hủy bỏ! "
809  "[Matamata] đã mở (những người tham gia tối đa: %d)! "
810  "[Matamata] /thamgia  Event! "
811  "[Matamata] Player %d: %s nhập! "
812  "[Matamata] 1st - %s ( %d điểm)! "
813  "[Matamata] 2nd - %s ( %d điểm)! "
814  "[Matamata] 3 %s ( %d điểm)! "
815  "[Matamata] vị trí của bạn: %d º ( %d điểm)! "
816  "[Matamata] điểm: %d điểm! "
817	      "Tên mới chứa từ ngữ không được phép!"
818       "Bắt buộc: %d master reset(s)."
819       "Không được phép với %d master ou +"
820       "Lệnh: [/pack (soul,bless,etc) (10,20,30)]"
821       "Lệnh: [/unpack (soul,bless,etc) (10,20,30)]"
822       "Bạn không có cụm ngọc nào."
823       "Thành công."
824       "Thùng đồ không đủ chỗ trống!"
825       "[TvTEvent] sẽ đóng sau %d phút"
826       "Gia nhập Team vs Team Event"
827       "[TvTEvent] đã đóng!"
828       "[TvTEvent] bắt đầu sau %d phút"
829       "[TvTEvent] đã bắt đầu!"
830       "[TvTEvent] đã kết thúc!"
831       "[TvTEvent] Bạn không thể tham gia!"
832       "[TvTEvent] Không mở!"
833       "[TvTEvent] Bạn không có Item cần thiết để nhập!"
                                      
834	  "Bạn không đủ tiền để mua để mua!"
835	  "Không được phép trong giao dịch!"
836	  "Giảm %d Zen khi sử dụng lệnh!"
837	  "Giá trị sử dụng: %d WC, %d WP, %d GP!"
838	  "Nhập lại lệnh nếu bạn muốn sử dụng nó!!"
839	  "Một người dùng bang hội khác có một rương mở!"
840	  "Bạn không được phép sử dụng Rương bang hội!"
841	  "%s đã cấm ký tự %s trong %d ngày!"
842	  "%s đã cấm tài khoản nhân vật %s trong %d ngày!"
843	  "[AntiHack] SpeedHack được phát hiện!"
844	  "[Trade] Giá trị bắt buộc: %d Zen!"
845	  "[Trade] Giá trị bắt buộc: %d WC!"
846	  "[Trade] Giá trị bắt buộc: %d WP!"
847	  "[Trade] Giá trị bắt buộc: %d GP!"
848	  "[Trade] %s không có giá trị bắt buộc!"
849	  "[QUEST %d] Cần %d Casth để thực hiện!!"
850	  "[QUEST %d] Cần %d Gold để thực hiện!"
851	  "[QUEST %d] Cần %d PcPoint để thực hiện!"
852       "[QUEST %d] Không còn hàng tồn kho để nhận giải thưởng của bạn!"
853       "[QUEST %d] Buff đã hoạt động, thực hiện nhiệm vụ sau!"
854       "Phải tiêu diệt thêm (%d) Quái nữa nhiệm vụ sẽ hoàn thành!"
855       "Nhiệm vụ đã hoàn thành!"
856       "[QUEST %d] Bạn không có bằng sáng chế cần thiết!"
857       "[QUEST %d] Bắt buộc %d Kill để tiếp tục!"
858       "Phòng dành cho người mới bắt đầu! Để lại trong %d giây"
859       "Bạn không thể truy cập vào căn phòng này! Để lại trong %d giây"
860	  "[QUEST] Xin chúc mừng, bạn đã hoàn thành nhiệm vụ này!"
861		  "Bạn bị hạn chế bởi %d cấp độ chênh lệch"

862      "Bạn không thể thiết lập lại tổng thể tại một thời điểm"
863      "Bạn đã đặt lại thành công và hiện có %d lần đặt lại chính"
864      "Bạn không thể đặt lại cùng lúc"
865      "Bạn đã đặt lại thành công và hiện có %d đặt lại"
866      "Hiện bạn không thể tham gia Gens, vui lòng đợi %d phút"
867      "Khối thị tộc của bạn đã kết thúc. Bây giờ bạn có thể tham gia Thị tộc"

868     "Zen"
869     "WCoinC"
870     "WCoinP"
871     "Goblin Point"

872 "Bạn là pk và không thể sử dụng"
873 "Bạn là pk và không thể sử dụng"
874 "Nhân vật là pk và không thể sử dụng"

875	     "Sự kiện Quỷ Xương kết thúc!"
876	     "Sự kiện Rồng Đỏ kết thúc!"
877	     "Sự kiện Binh Đoàn Hoàng Kim kết thúc!"
878	     "Sự kiện Binh Đoàn Phù Thủy kết thúc!"
879	     "Sự kiện Junie kết thúc!"
880	     "Sự kiện Binh đoàn thỏ trắng kết thúc!"
881	     "Sự kiện Hỏa diệm quỷ kết thúc!"
882	     "Sự kiện Christmas kết thúc!"
883	     "Sự kiện Medusa kết thúc!"
884      "Sự kiên Boss Selupan kết thúc!"
885      "Sự kiên Boss Kundun kết thúc!"

900 "Nhân vật không tồn tại hoặc không trực tuyến."
901 "Bạn đã tạo thành công vật phẩm"
902 "Vật phẩm bị GM rớt quà"

910 "Sự kiên Boss Selupan Bắt đầu!"
911 "Sự kiên Boss Kundun Bắt đầu!"

950 "Nhân vật %s tiêu diệt Selupan!"
951 "Nhân vật %s tiêu diệt Kundun!"
952 "Nhân vật %s tiêu diệt Thỏ Ngọc!"
953 "Nhân vật %s tiêu diệt Hỏa Diệm Quỷ!"
954 "Nhân vật %s tiêu diệt Junie!"

962	"[Chiến trường cổ] Bạn không đủ thời gian để tham gia!"
963	"[Chiến trường cổ] Thao tác quá nhanh vui lòng chờ đợi"
964	"[Chiến trường cổ] Chỉ được phép mua thêm %d (lượt/ngày)"
965	"[Chiến trường cổ] Không đủ %d Coin"
966	"[Chiến trường cổ] Mua thời gian"
967	"[Chiến trường cổ] Đã cộng thệm %d phút"

1000 "[GHRS]Bạn đã đạt đủ GHRS hôm nay %d/%d lần!"
1001 "[Giết Quái Vật] Nhận được %d điểm Guild"
1002 "[%s] Nhận được %d WCoinC"
1003 "[%s] Nhận được %d WCoinP"
1004 "[%s] Nhận được %d Thành Tựu"
1005 "Bạn đã giết được %d / %d quái"
1006 "[%s] đã tiêu diệt %d quái trong Blood, ngọc rơi đầy chân!"
1007 "[%s] đã tiêu diệt %d quái trong Devil, ngọc rơi đầy chân!"
1008 "Bạn không thể sử dụng ngay bây giờ."
1100 "[Guild vs Guild] sẽ đóng sau %d phút nữa!"
1101 "Lối vào Guild vs Sự kiện Guild"
1102 "[Guild vs Guild] đã đóng cửa!"
1103 "[Guild vs Guild] sẽ bắt đầu sau %d phút nữa"
1104 "[Guild vs Guild] đã bắt đầu!"
1105 "[Guild vs Guild] đã kết thúc!"
1106 "[Guild vs Guild] Bạn không thể vào!"
1107 "[Guild vs Guild] Không mở!"
1108 "[Guild vs Guild] Bạn không có mục cần thiết để nhập!"
1109 "[Guild vs Guild] Bạn cần phải tham gia một hội!"
1110 "[Guild vs Guild] Chủ Guild của guild phải vào trước!"
1111 "[Guild vs Guild] %d điểm cho guild %s!"
1112 "[Guild vs Guild] Đã hủy!"
1113 "[Guild vs Guild] Guild %s đã thắng sự kiện!"
//1114 "[Guild vs Guild] Sẽ chọn 2 Guild Ngẫu nhiên để tham gia Trận Chiến!"
//====================================================================
1515    "[BOSS] Medusa đã bị [%s] tiêu diệt!"
1516    "[BOSS] Kundum đã bị [%s] tiêu diệt!"
1517    "[BOSS] Nightmare đã bị [%s] tiêu diệt!"
1518    "[BOSS] Selupan đã bị [%s] tiêu diệt!"
//====================================================================
1550    "[%s] đã tăng %s lên +%d !"
//====================================================================
1600    "Chúc mừng %s đã ép thành công Sói Tinh - Hoàng Kim"
1601    "Chúc mừng %s đã xoay được %s"
1602    "[%s] Đổi Item Exc nhận %d WcoinC, %d WCoinP"
1603    "%s đã ép thất bại Sói Tinh - Hoàng Kim"
//====================================================================
1900    "[Tháp Boss] đợt 1 chuẩn bị xuất hiện!"
1901    "[Tháp Boss] đợt 2 chuẩn bị xuất hiện!"
1902    "[Tháp Boss] đợt 3 chuẩn bị xuất hiện!"
1903    "[Tháp Boss] đợt 4 chuẩn bị xuất hiện!"
1904    "[Tháp Boss] đợt 5 chuẩn bị xuất hiện!"
1905    "[Tháp Boss] đợt 6 chuẩn bị xuất hiện!"
1906    "[Tháp Boss] đợt 7 chuẩn bị xuất hiện!"
1907    "[Tháp Boss] đợt 8 chuẩn bị xuất hiện!"
1908    "[Tháp Boss] đợt 9 chuẩn bị xuất hiện!"

1909    "[Tháp Boss]%s đã tiêu diệt thủ lĩnh đợt 1!"
1910    "[Tháp Boss]%s đã tiêu diệt thủ lĩnh đợt 2!"
1911    "[Tháp Boss]%s đã tiêu diệt thủ lĩnh đợt 3!"
1912    "[Tháp Boss]%s đã tiêu diệt thủ lĩnh đợt 4!"
1913    "[Tháp Boss]%s đã tiêu diệt thủ lĩnh đợt 5!"
1914    "[Tháp Boss]%s đã tiêu diệt thủ lĩnh đợt 6!"
1915    "[Tháp Boss]%s đã tiêu diệt thủ lĩnh đợt 7!"
1916    "[Tháp Boss]%s đã tiêu diệt thủ lĩnh đợt 8!"
1917    "[Tháp Boss]%s đã tiêu diệt thủ lĩnh đợt 9!"

1918    "[Tháp Boss]kết thúc!"




//====================================================================
2000    "[%s] Vừa tạo party mới tại [%s] tọa độ [%d ,%d]"
2001	"[Quay vòng may mắn] không đủ %d WCoinC!" 
2002	"[%s] Quay vòng may mắn, nhận thưởng!" 
//====================================================================
2003    "[Vip Nhân vật]Bạn cần (%d) WcoinC để thuê!"
2004    "[Vip Nhân vật][%s] thuê thành công!"
2005    "[Vip Nhân vật]Bạn đã là VIP, chờ hết thời gian để thuê Vip mới!"
//====================================================================
2006    "[Danh Hiệu]Bạn cần (%d) WcoinC để thuê!"
2007    "[Danh Hiệu][%s] thuê thành công!"
2008    "[Danh Hiệu]Bạn đã có Danh Hiệu, chờ hết thời gian để thuê mới!"
//====================================================================
2009    "[Quân Hàm]Bạn cần (%d) WcoinC để thuê!"
2010    "[Quân Hàm][%s] thuê thành công!"
2011    "[Quân Hàm]Bạn đã có Quân Hàm, chờ hết thời gian để thuê mới!"
//====================================================================
2012      "[Tu Luyện] [%s] thành công cấp độ [%d]!"
2013      "[Tu Luyện] Bạn cần có %d WCoinC để Tu Luyện!"
2014      "[Tu Luyện] Bạn đã đạt cấp độ tối đa!"
//====================================================================
2015      "[Kinh Mạch] Bạn cần %s"
2016      "[Kinh Mạch] Cấp độ tối đa !"
2017      "[Kinh Mạch] Nguyên liệu không đủ !"
//====================================================================
2018      "[Ngũ Hành] [%s] thành công cấp độ [%d]!"
2019      "[Ngũ Hành] Nguyên liệu không đủ !"
2020      "[Ngũ Hành] Bạn đã đạt cấp độ tối đa!"
//====================================================================
2021       "[Đổi Giới Tính] Bạn không đủ %d WCoinC để thực hiện!"
2022       "[Đổi Giới Tính] Vui lòng tháo hết đồ trên nhân vật!"
//====================================================================
2023  	  "[%s] đã Reset thành công lần thứ %d!"
//====================================================================
2024      "[Tẩy Điểm]Bạn cần (%d) WcoinC để sử dụng!"
2025      "[Tẩy Điểm Master]Bạn cần (%d) WcoinC để sử dụng!"
2026      "[Làm Nhiệm Vụ] Bạn cần (%d) WcoinC để sử dụng!"
//====================================================================
2027       "[ResetLife] Nhân vật chưa đạt cấp độ %d!"
2028       "[ResetLife] Nhân vật chưa đạt Reset %d lần !"
2029       "[ResetLife] thành công!".
2030       "[ResetLife] Bạn đã đạt tối đa %d lần !"
//====================================================================
end
