//=============================================================================================================================================================================================================================================================================================================================================================
// Item SEASON 6 + SEASON 15
//=============================================================================================================================================================================================================================================================================================================================================================
0
//============================================================================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//============================================================================================================================================================================================================================================================================================================================================================
145      2      0       2       2        1            1            0          "Mũ Dồ Long(DK)"                     150     135       0              100          300        220	          53	         0	         0	           0               0      0       3       0       0       0       0       0
146      2      0       2       2        1            1            0          "Mũ Dồ Long(DW)"                     150     116       0              100          300        65	          33	         191	     0	           0               0      3       0       0       0       0       0       0
147      2      0       2       2        1            1            0          "Mũ Dồ Long(EF)"                     150     125       0              100          300        34	          51	         147	     0	           0               0      0       0       3       0       0       0       0
148      2      0       2       2        1            1            0          "Mũ Dồ Long(SM)"                     150     113       0              100          300        76	          39	         177	     0	           0               0      0       0       0       0       0       3       0
150      2      0       2       2        1            1            0          "Mũ Dồ Long(DL)"                     150     118       0              100          300        132	          42	         0	         0	           0               0      0       0       0       0       3       0       0
151      2      0       2       2        1            1            0          "Mũ Dồ Long(RF)"                     150     121       0              100          300        138	          0	             0	         105	       0               0      0       0       0       0       0       0       3
//===========================================================================================================================================================================================================================================================================================================
// Season 13                                                                                                       
//===========================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   Defense   MagicDef       Durability   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//===========================================================================================================================================================================================================================================================================================================
152      2      0       2       2        1            1            0          "Mũ Linh Hồn(DK)"                    150     182       0              100          350        230	          63	         0	         0	           0               0      0       3       0       0       0       0       0
153      2      0       2       2        1            1            0          "Mũ Linh Hồn(DW)"                    150     164       0              100          350        75	          43	         201	     0	           0               0      3       0       0       0       0       0       0
154      2      0       2       2        1            1            0          "Mũ Linh Hồn(EF)"                    150     172       0              100          350        44	          61	         157	     0	           0               0      0       0       3       0       0       0       0
155      2      0       2       2        1            1            0          "Mũ Linh Hồn(SM)"                    150     161       0              100          350        86	          49	         187	     0	           0               0      0       0       0       0       0       3       0
157      2      0       2       2        1            1            0          "Mũ Linh Hồn(DL)"                    150     162       0              100          350        142	          52	         0	         0	           0               0      0       0       0       0       3       0       0
158      2      0       2       2        1            1            0          "Mũ Linh Hồn(RF)"                    150     166       0              100          350        148	          0	             0	         115	       0               0      0       0       0       0       0       0       3
//===========================================================================================================================================================================================================================================================================================================
// Season 14                                                                                                       
//===========================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   Defense   MagicDef       Durability   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//===========================================================================================================================================================================================================================================================================================================
159      2      0       2       2        1            1            0          "Mũ Ánh Sáng(DK)"                    150     227       0              100          380       240	          73	         0	         0	           0               0      0       3       0       0       0       0       0
160      2      0       2       2        1            1            0          "Mũ Ánh Sáng(DW)"                    150     209       0              100          380       85	          53	         211	     0	           0               0      3       0       0       0       0       0       0
161      2      0       2       2        1            1            0          "Mũ Ánh Sáng(EF)"                    150     217       0              100          380       54	          71	         167	     0	           0               0      0       0       3       0       0       0       0
162      2      0       2       2        1            1            0          "Mũ Ánh Sáng(SM)"                    150     206       0              100          380       96	          59	         197	     0	           0               0      0       0       0       0       0       3       0
164      2      0       2       2        1            1            0          "Mũ Ánh Sáng(DL)"                    150     207       0              100          380       152	          62	         0	         0	           0               0      0       0       0       0       3       0       0
165      2      0       2       2        1            1            0          "Mũ Ánh Sáng(RF)"                    150     211       0              100          380       158	          0	             0	         125	       0               0      0       0       0       0       0       0       3
//===========================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   Defense   MagicDef       Durability   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//===========================================================================================================================================================================================================================================================================================================
166      2      0       2       2        1            1            1          "Mũ Đồ Long(RF)"                     111     40        0              86           380        108	          0	             0	         85            0               0      0       0       0       0       0       0       3
167      2      0       2       2        1            1            1          "Mũ Quyền Long(RF)"                  143     47        0              90           400        108	          0	             0	         85            0               0      0       0       0       0       0       0       3
//===========================================================================================================================================================================================================================================================================================================
// Season 15                                                                                                       
//===========================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   Defense   MagicDef       Durability   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//===========================================================================================================================================================================================================================================================================================================
168      2      0       2       2        1            1            0          "Mũ Long Thần(DK)"                   150     272       0              100          380        250	          83	         0	         0	           0               0      0       3       0       0       0       0       0
169      2      0       2       2        1            1            0          "Mũ Long Thần(DW)"                   150     254       0              100          380        95	          63	         221	     0	           0               0      3       0       0       0       0       0       0
170      2      0       2       2        1            1            0          "Mũ Long Thần(EF)"                   150     262       0              100          380        64	          81	         177	     0	           0               0      0       0       3       0       0       0       0
171      2      0       2       2        1            1            0          "Mũ Long Thần(SM)"                   150     251       0              100          380        106	          69	         207	     0	           0               0      0       0       0       0       0       3       0
173      2      0       2       2        1            1            0          "Mũ Long Thần(DL)"                   150     252       0              100          380        162	          72	         0	         0	           0               0      0       0       0       0       3       0       0
174      2      0       2       2        1            1            0          "Mũ Long Thần(RF)"                   150     256       0              100          380        168	          0	             0	         135           0               0      0       0       0       0       0       0       3
//===========================================================================================================================================================================================================================================================================================================
// Season 16                                                                                                       
//===========================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   Defense   MagicDef       Durability   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//===========================================================================================================================================================================================================================================================================================================
175      2      0       2       2        1            1            0          "Mũ Huyết Thần(DK)"                  150     317       0              100          380        260	          93	         0	         0	           0               0      0       3       0       0       0       0       0
176      2      0       2       2        1            1            0          "Mũ Huyết Thần(DW)"                  150     299       0              100          380        105	          73	         231	     0	           0               0      3       0       0       0       0       0       0
177      2      0       2       2        1            1            0          "Mũ Huyết Thần(EF)"                  150     307       0              100          380        74	          91	         187	     0	           0               0      0       0       3       0       0       0       0
178      2      0       2       2        1            1            0          "Mũ Huyết Thần(SM)"                  150     296       0              100          380        116	          79	         217	     0	           0               0      0       0       0       0       0       3       0
180      2      0       2       2        1            1            0          "Mũ Huyết Thần(DL)"                  150     397       0              100          380        172	          82	         0	         0	           0               0      0       0       0       0       3       0       0
181      2      0       2       2        1            1            0          "Mũ Huyết Thần(RF)"                  150     301       0              100          380        178	          0	             0	         145           0               0      0       0       0       0       0       0       3
//===========================================================================================================================================================================================================================================================================================================
// Season 16|GUN CRASHER                                                                                           
//===========================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   Defense   MagicDef       Durability   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//===========================================================================================================================================================================================================================================================================================================
182      2      0       2       2        1            1            0          "GunCrasher Helm"					   150     317       0              100          380        260	          93	         0	         0	           0               0      3       3       0       3       3       0       3
//===========================================================================================================================================================================================================================================================================================================
// Sogonku                                                                                      
//===========================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   Defense   MagicDef       Durability   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//===========================================================================================================================================================================================================================================================================================================
200      2      0       2       2        1            1            0          "Mũ Goku[A]"					   150     317       0              100          380        260	          93	         0	         0	           0               0      3       3       0       3       3       0       3


end

8
//===========================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   Defense   MagicDef       Durability   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//===========================================================================================================================================================================================================================================================================================================
0        3      0       2       2        1            1            1          "Áo Đồng"  		              18      14        0              34           0          80            20             0           0             0               0      0       1       0       1       1       0       0
1        3      0       2       3        1            1            1          "Áo Hỏa Long"  	              59      37        0              68           0          120           30             0           0             0               0      0       1       0       1       0       0       0
2        3      0       2       2        1            1            1          "Áo Vải Thô"  	              10      7         0              28           0          30            0              0           0             0               0      1       0       0       1       0       0       0
3        3      0       2       2        1            1            1          "Áo Ma Thuật"  	              56      22        0              42           0          40            0              0           0             0               0      1       0       0       1       0       0       0
4        3      0       2       2        1            1            1          "Áo Xương"  		              22      13        0              30           0          40            0              0           0             0               0      1       0       0       1       0       0       0
5        3      0       2       3        1            1            1          "Áo Da"  			              10      10        0              30           0          80            0              0           0             0               0      0       1       0       1       1       0       0
6        3      0       2       2        1            1            1          "Áo Trâu Xanh"  	              28      18        0              40           0          110           0              0           0             0               0      0       1       0       1       1       0       1
7        3      0       2       3        1            1            1          "Áo Nhân Sư"  	              38      17        0              36           0          40            0              0           0             0               0      1       0       0       1       0       0       0
8        3      0       2       2        1            1            1          "Áo Thiên Kim"  	              38      22        0              44           0          100           30             0           0             0               0      0       1       0       1       0       0       1
9        3      0       2       2        1            1            1          "Áo Thiết Phiến"                48      30        0              50           0          130           0              0           0             0               0      0       1       0       1       0       0       1
10       3      0       2       2        1            1            1          "Áo Trinh Nữ"  	              10      8         0              22           0          30            60             0           0             0               0      0       0       1       0       0       0       0
11       3      0       2       2        1            1            1          "Áo Lụa"  		              20      12        0              26           0          30            70             0           0             0               0      0       0       1       0       0       0       0
12       3      0       2       2        1            1            1          "Áo Thiên Thanh"                32      16        0              32           0          30            80             0           0             0               0      0       0       1       0       0       0       0
13       3      0       2       2        1            1            1          "Áo Ngọc Bích"  	              44      21        0              38           0          40            80             0           0             0               0      0       0       1       0       0       0       0
14       3      0       2       2        1            1            1          "Áo Kim Ngân"  	              57      29        0              45           0          40            80             0           0             0               0      0       0       1       0       0       0       0
15       3      0       2       3        1            1            1          "Áo Phong Vũ"  	              80      44        0              80           0          150           70             0           0             0               0      0       0       0       1       0       0       0
16       3      0       2       3        1            1            1          "Áo Hắc Long"  	              90      48        0              74           0          170           60             0           0             0               0      0       1       0       0       0       0       0
17       3      0       2       3        1            1            1          "Áo Phượng Hoàng"               100     63        0              80           0          214           65             0           0             0               0      0       2       0       0       0       0       0
18       3      0       2       3        1            1            1          "Áo Triệu Hồn"  	              91      33        0              67           0          59            20             0           0             0               0      2       0       0       0       0       0       0
19       3      0       2       2        1            1            1          "Áo Giai Nhân"  	              92      44        0              74           0          50            110            0           0             0               0      0       0       2       0       0       0       0
20       3      0       2       3        1            1            1          "Áo Lôi Phong"  	              107     60        0              82           0          170           70             0           0             0               0      0       0       0       1       0       0       0
21       3      0       2       3        1            1            1          "Áo Thần Long"  	              126     75        0              86           0          200           58             0           0             0               0      0       2       0       0       0       0       0
22       3      0       2       3        1            1            1          "Áo Ma Vương"  	              122     43        0              75           0          55            18             0           0             0               0      2       0       0       0       0       0       0
23       3      0       2       3        1            1            1          "Áo Cuồng Phong"                128     73        0              90           0          162           66             0           0             0               0      0       0       0       1       0       0       0
24       3      0       2       2        1            1            1          "Áo Thánh Nữ"  	              109     55        0              80           0          52            115            0           0             0               0      0       0       2       0       0       0       0
25       3      0       2       3        1            1            1          "Áo Thiết Ma"  	              62      25        0              42           0          70            20             0           0             0               0      0       0       0       0       1       0       0
26       3      0       2       3        1            1            1          "Áo Huyền Thiết"                78      36        0              56           0          77            21             0           0             0               0      0       0       0       0       1       0       0
27       3      0       2       3        1            1            1          "Áo Hắc Vương"  	              96      43        0              70           0          84            22             0           0             0               0      0       0       0       0       1       0       0
28       3      0       2       3        1            1            1          "Áo Chí Tôn"  	              117     51        0              78           0          80            21             0           0             0               0      0       0       0       0       1       0       0
//--
29       3      0       2       3        1            1            1          "Áo Quyền Năng"                  140     88        0              90           380        170           60             0           0             0               0      0       2       0       0       0       0       0
30       3      0       2       3        1            1            1          "Áo Thần Ma"  	               146     57        0              86           380        44            15             0           0             0               0      2       0       0       0       0       0       0
31       3      0       2       3        1            1            1          "Áo Thái Bình"                   146     68        0              86           380        38            80             0           0             0               0      0       0       2       0       0       0       0
32       3      0       2       3        1            1            1          "Áo Hồng Long"                   147     86        0              95           380        145           60             0           0             0               0      0       0       0       1       0       0       0
33       3      0       2       3        1            1            1          "Áo Thái Dương"                  147     64        0              82           380        62            16             0           0             0               0      0       0       0       0       1       0       0
//--
34       3      0       2       3        1            1            1          "Áo Hắc Điểu"                75      42        0              72           0          160           50             0           0             0               0      0       1       0       0       0       0       0
35       3      0       2       3        1            1            1          "Áo Ánh Trăng"               75      27        0              54           0          53            12             0           0             0               0      1       0       0       0       0       0       0
36       3      0       2       3        1            1            1          "Áo Nữ Thần"                 75      36        0              59           0          50            70             0           0             0               0      0       0       1       0       0       0       0
37       3      0       2       3        1            1            1          "Áo Hỏa Thần"                105     52        0              81           0          155           50             0           0             0               0      0       0       0       1       0       0       0
38       3      0       2       3        1            1            1          "Áo Hoàng Kim"               105     47        0              74           0          80            21             0           0             0               0      0       0       0       0       1       0       0
39       3      0       2       2        1            1            1          "Áo Thuật Sĩ"                34      22        0              36           0          39            0              0           0             0               0      0       0       0       0       0       1       0
40       3      0       2       2        1            1            1          "Áo Hỏa Thiên"               56      28        0              42           0          35            8              0           0             0               0      0       0       0       0       0       1       0
41       3      0       2       2        1            1            1          "Áo Ma Pháp"                 75      35        0              54           0          52            16             0           0             0               0      0       0       0       0       0       1       0
42       3      0       2       2        1            1            1          "Áo Phục Ma"                 91      45        0              67           0          60            20             0           0             0               0      0       0       0       0       0       2       0
43       3      0       2       2        1            1            1          "Áo Bão Điện"                122     56        0              75           380        57            19             0           0             0               0      0       0       0       0       0       2       0
44	 	 3		0		2		2	 	 1	      	  1		   	   1	      "Áo Nữ Vương" 	   	       146	   66	     0		    	86		 	 0	    	84			  27			 0	   	     0			   0		  	   4	  0		  0	 	  0	 	  0	 	  0		  2	 	  0
//--
45       3      0       2       3        1            1            1          "Áo Thần Thoại"  	                     132     81        0              86           380        222           32             0           0             0               0      0       1       0       0       0       0       0
46       3      0       2       3        1            1            1          "Áo Hoàng Long"                        132     62        0              86           380        74            162            0           0             0               0      0       1       0       0       0       0       0
47       3      0       2       3        1            1            1          "Áo Bóng Ma"  	                     131     80        0              86           380        212           57             0           0             0               0      0       0       0       1       0       0       0
48       3      0       2       3        1            1            1          "Áo Hủy Diệt"  	                     125     66        0              86           380        62            19             165         0             0               0      0       0       0       1       0       0       0
49       3      0       2       2        1            1            1          "Áo Thiên Vũ"  	                     129     60        0              86           380        55            197            0           0             0               0      0       0       1       0       0       0       0
50       3      0       2       2        1            1            1          "Áo Anh Vũ"  	                         122     52        0              86           380        32            29             138         0             0               0      0       0       1       0       0       0       0
51       3      0       2       3        1            1            1          "Áo Đế Vương"  	                     132     58        0              86           380        105           38             0           0             0               0      0       0       0       0       1       0       0
52       3      0       2       3        1            1            1          "Áo Quỷ Vương"                         129     50        0              86           380        60            15             181         0             0               0      1       0       0       0       0       0       0
53       3      0       2       2        1            1            0          "Áo Chiêm Tinh"			    		 148	   58		 0				90			 360		56			  19			 157		 0			   0			   0	  0  	  0  	  0  	  0  	  0  	  3  	  0
//===========================================================================================================================================================================================================================================================================================================
// Season 8
//===========================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   Defense   MagicDef       Durability   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//===========================================================================================================================================================================================================================================================================================================
54       3      0       2       3        1            1            0          "Áo Song Long(DK)"				   148	   79		 0				90			 360		67			  151			 0			 0			   0			   0	  0  	  3  	  0  	  0  	  0  	  0  	  0
55       3      0       2       3        1            1            0          "Áo Song Long(DW)"				   148	   59		 0				90			 360		45			  13			 171		 0			   0			   0	  3  	  0  	  0  	  0  	  0  	  0  	  0
56       3      0       2       2        1            1            0          "Áo Song Long(EF)"				   148	   69		 0				90			 360		48			  180			 0			 0			   0			   0	  0  	  0  	  3  	  0  	  0  	  0  	  0
57       3      0       2       3        1            1            0          "Áo Song Long(MG)"				   148	   89		 0				90			 360		194			  52			 0			 0			   0			   0	  0  	  0  	  0  	  3  	  0  	  0  	  0
58       3      0       2       3        1            1            0          "Áo Song Long(DL)"				   148	   67		 0				90			 360		112			  22			 0			 0			   0			   0	  0  	  0  	  0  	  0  	  3  	  0  	  0
//===========================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   Defense   MagicDef       Durability   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//===========================================================================================================================================================================================================================================================================================================
59       3      0       2       3        1            1            1          "Áo Địa Long"                        66      43        0              52           0          85            0              0           75            0               0      0       0       0       0       0       0       1
60       3      0       2       3        1            1            1          "Áo Bạch Hổ"                         82      51        0              68           0          100           0              0           90            0               0      0       0       0       0       0       0       1
61       3      0       2       3        1            1            1          "Áo Quyền Lực"                       101     59        0              82           0          115           0              0           100           0               0      0       0       0       0       0       0       1
//--- Gold
62       3      0       2       2        1            1            0          "Lucky Scale Armor"	           	   28	   21	     0	            255	         1	    	0	          0	         	 0	     	 0	           0	           0	  0	  	  1	  	  0	  	  0	  	  1	 	  0	  	  1	
63       3      0       2       2        1            1            0          "Lucky Silk Armor"	           	   20	   14	     0	            255	         1	    	0	          0	         	 0	     	 0	           0	           0	  0	  	  0	  	  1	  	  0	  	  0	 	  0	  	  0	
64       3      0       2       3        1            1            0          "Lucky Sphinx Armor"	           	   38	   19	     0	            255	         1	    	0	          0	         	 0	     	 0	           0	           0	  1	  	  0	  	  0	  	  1	  	  0	 	  0	  	  0	
65       3      0       2       2        1            1            0          "Lucky Violent Wind Armor"	   	   34	   26	     0	            255	         1	    	0	          0	         	 0	     	 0	           0	           0	  0	  	  0	  	  0	  	  0	  	  0	 	  1	  	  0	
66       3      0       2       3        1            1            0          "Lucky Dark Soul Armor"	           78	   39	     0	            255	         150	    0	          0	         	 0	     	 0	           0	           0	  0	  	  0	  	  0	  	  0	  	  1	 	  0	  	  0	
67       3      0       2       3        1            1            0          "Lucky Dragon Armor"	           	   59	   42	     0	            255	         150	    0	          0	         	 0	     	 0	           0	           0	  0	  	  1	  	  0	  	  0	  	  0	 	  0	  	  0	
68       3      0       2       2        1            1            0          "Lucky Guardian Armor"	           57	   29	     0	            255	         150	    0	          0	         	 0	     	 0	           0	           0	  0	  	  0	  	  1	  	  0	  	  0	 	  0	  	  0	
69       3      0       2       2        1            1            0          "Lucky Legendary Armor"	           56	   24	     0	            255	         150	    0	          0	         	 0	     	 0	           0	           0	  1	  	  0	  	  0	  	  0	  	  0	 	  0	  	  0	
70       3      0       2       2        1            1            0          "Lucky Red Wing Armor"	           56	   31	     0	            255	         150	    0	          0	         	 0	     	 0	           0	           0	  0	  	  0	  	  0	  	  0	  	  0	 	  1	  	  0	
71       3      0       2       3        1            1            0          "Lucky Atlans Armor"	               80	   47	     0	            255	         150	    0	          0	         	 0	     	 0	           0	           0	  0	  	  0	  	  0	  	  1	  	  0	 	  0	  	  0	
72       3      0       2       3        1            1            0          "Lucky Storm Hard Armor"	           82	   43	     0	            255	         150	    0	          0	         	 0	     	 0	           0	           0	  0	  	  0	  	  0	  	  0	  	  0	 	  0	  	  1	
//--
73       3      0       2       3        1            1            1          "Áo Bạch Long"	                   143	   78	     0	            88	         380	    97	          0	         	 0	     	 85	           0	           0	  0	  	  0	  	  0	  	  0	  	  0	 	  0	  	  1	
//-- Season 8
74       3      0       2       2        1            1            0          "Áo Song Long(SM)"                   148     58        0              90           360        56            19             157         0             0               0      0       0       0       0       0       3       0	 	 	                                                                                                                                                                                                                                                  	      	      	      	 	          
77       3      0       2       3        1            1            0          "Áo Song Long(RF)"			       128	   102		 0				88			 360		118			  0	         	 0	     	 85		   	   0			   0	  0   	  0   	  0   	  0   	  0  	  0   	  1
//--
//===========================================================================================================================================================================================================================================================================================================
// Season 10                                                                                                       
//===========================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   Defense   MagicDef       Durability   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//===========================================================================================================================================================================================================================================================================================================
